--------- beginning of main
01-22 14:13:27.787 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188007, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:28.795 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188008, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:30.372 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188009, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:31.388 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188011, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:33.288 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188012, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:34.296 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188014, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:35.901 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188015, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:13:36.910 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188016, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:13:38.464 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188017, state connected, tech 4G, cid 120762895, pcid 343, rsrp -112, rsrq -20, 
01-22 14:13:39.472 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188019, state connected, tech 4G, cid 120762895, pcid 343, rsrp -112, rsrq -20, 
01-22 14:13:40.836 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188020, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:13:41.844 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188021, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:13:43.252 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188022, state connected, tech 4G, cid 120762895, pcid 343, rsrp -111, rsrq -19, 
01-22 14:13:44.260 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188024, state connected, tech 4G, cid 120762895, pcid 343, rsrp -111, rsrq -19, 
01-22 14:13:45.604 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188025, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:46.615 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188026, state connected, tech 4G, cid 120762895, pcid 343, rsrp -114, rsrq -20, 
01-22 14:13:47.980 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188027, state connected, tech 4G, cid 120762895, pcid 343, rsrp -112, rsrq -20, 
01-22 14:13:48.988 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188028, state connected, tech 4G, cid 120762895, pcid 343, rsrp -112, rsrq -20, 
01-22 14:13:50.381 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188029, state connected, tech 4G, cid 120762895, pcid 343, rsrp -104, rsrq -14, 
01-22 14:13:51.396 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188031, state connected, tech 4G, cid 120762895, pcid 343, rsrp -104, rsrq -14, 
01-22 14:13:52.781 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188032, state connected, tech 4G, cid 120762895, pcid 343, rsrp -103, rsrq -14, 
01-22 14:13:53.789 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188033, state connected, tech 4G, cid 120762895, pcid 343, rsrp -103, rsrq -14, 
01-22 14:13:55.146 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188034, state connected, tech 4G, cid 120762895, pcid 343, rsrp -106, rsrq -15, 
01-22 14:13:56.155 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188036, state connected, tech 4G, cid 120762895, pcid 343, rsrp -106, rsrq -15, 
01-22 14:13:57.567 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188037, state connected, tech 4G, cid 120762895, pcid 343, rsrp -108, rsrq -17, 
01-22 14:13:58.575 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188038, state connected, tech 4G, cid 120762895, pcid 343, rsrp -108, rsrq -17, 
01-22 14:13:59.939 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188039, state connected, tech 4G, cid 120762895, pcid 343, rsrp -106, rsrq -15, 
01-22 14:14:00.949 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188040, state connected, tech 4G, cid 120762895, pcid 343, rsrp -106, rsrq -15, 
01-22 14:14:02.520 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188041, state connected, tech 4G, cid 120762895, pcid 343, rsrp -107, rsrq -17, 
01-22 14:14:03.529 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188043, state connected, tech 4G, cid 120762895, pcid 343, rsrp -107, rsrq -17, 
01-22 14:14:05.023 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188044, state connected, tech 4G, cid 0, pcid 0, rsrp -116, rsrq -20, 
01-22 14:14:06.031 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188046, state connected, tech 4G, cid 0, pcid 0, rsrp -116, rsrq -20, 
